"Time"	"Account ID"	"Side"	"Symbol ID"	"ISIN"	"Type"	"Price"	"Currency"	"Quantity"	"Commission"	"Commission Currency"	"P&L"	"Traded Volume"	"Order Id"	"Order pos"	"Value Date"	"Unique Transaction Identifier (UTI)"	"Trade type"
"398646048"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:06"	"1528.58"	"USD"	"1558.22"	"None"	"d1678bac-73eb-41e1-b25d-0aa6f282b9d3"	"None"
"398646046"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:06"	"-23"	"SCHD.ARCA"	"-1558.22"	"None"	"1ad91909-5354-4334-9e76-611153b7bb87"	"None"
"398646029"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:05"	"-0.02"	"USD"	"-0.02"	"None"	"955c36d5-fd66-45aa-9263-135faaa3938c"	"None"
"398646027"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:05"	"66.46"	"USD"	"67.75"	"None"	"49d6d95d-6737-42b3-a1f9-23f12d0cd865"	"None"
"398646026"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:05"	"-1"	"SCHD.ARCA"	"-67.75"	"None"	"3f171ea9-c427-4b9f-a0ac-0c7788a6bf92"	"None"
"398646015"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:05"	"-0.22"	"USD"	"-0.22"	"None"	"b26b33dd-4000-4d22-8b60-f7acde454f05"	"None"
"398646014"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:05"	"731.06"	"USD"	"745.24"	"None"	"dbc93bf8-d476-47c3-aa79-1cb14b1193a0"	"None"
"398646013"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:05"	"-11"	"SCHD.ARCA"	"-745.24"	"None"	"851218aa-e64e-4ffc-9384-84b91b97d1ac"	"None"
"398645999"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:05"	"-0.02"	"USD"	"-0.02"	"None"	"4aedf8fc-bf75-4449-b9c9-76906f281e73"	"None"
"398645998"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:05"	"66.46"	"USD"	"67.75"	"None"	"248da750-108a-4c3a-944a-c1f3c8cbb1c5"	"None"
"398645997"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:05"	"-1"	"SCHD.ARCA"	"-67.75"	"None"	"101e7d64-16a6-4f97-bb9f-97292c4b7a79"	"None"
"395610335"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TAX"	"2022-09-21 12:36:20"	"-30.95"	"USD"	"-31.23"	"162 shares ExD 2022-09-21 PD 2022-09-26 dividend SCHD.ARCA 103.15 USD (0.6367 per share) tax -30.95 USD (-30.00%) DivCntry US"	"5141a567-9e5c-40c9-8ae9-046c08921fb1"	"aca14da4-3f97-4702-a516-6e370e066053"
"395610267"	"AMD0000.001"	"SCHD.ARCA"	"None"	"DIVIDEND"	"2022-09-21 12:36:19"	"103.15"	"USD"	"104.09"	"162 shares ExD 2022-09-21 PD 2022-09-26 dividend SCHD.ARCA 103.15 USD (0.6367 per share) tax -30.95 USD (-30.00%) DivCntry US"	"aca14da4-3f97-4702-a516-6e370e066053"	"None"
"388579542"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-30 12:44:07"	"-0.08"	"USD"	"-0.08"	"None"	"a6f21321-c999-468a-bcb9-72482b2bebcb"	"None"
"388579541"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-30 12:44:07"	"-296.44"	"USD"	"-296.09"	"None"	"9fb99652-d7a1-435f-912b-e689a9e1ad75"	"None"
"388579540"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-30 12:44:07"	"4"	"SCHD.ARCA"	"296.09"	"None"	"16364650-b53f-4ac1-91bd-8d0851750554"	"None"
"388263981"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-29 08:04:14"	"-0.1"	"USD"	"-0.1"	"None"	"c23705f8-7286-47bb-be0b-ff7dc72a3100"	"None"
"388263980"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-29 08:04:14"	"-370.4"	"USD"	"-372.62"	"None"	"9d4a003c-1897-42da-982a-d3411abd9658"	"None"
"388263979"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-29 08:04:14"	"5"	"SCHD.ARCA"	"372.62"	"None"	"06811283-42c6-489c-8805-5f82979a22fb"	"None"
